Timestamp,Editor Name,Name of Organization,Short Description of Organization (250 Characters),Organization Website URL,Does this provider offer more than one location in the greater Gainesville area?,Do you want to save your work and come back later to finish? You will be asked this at the bottom of each page.,Contact Name for Organization,Contact Title for Organization,Contact Email for Organization,Contact Phone 1 for Organization,Contact Info 1 Notes for Organization,Contact Phone 2 for Organization,Contact Info 2 Notes for Organization,Do you want to save your work and come back later to finish?,Location Name,Location Address 1,Location Address 2,City,Zip Code,"Location Phone Number 1 Name (ex: Main, office hours)",Location Phone Number 1,"Location Phone Number 2 Name (ex: Main, office hours)",Location Phone Number 2,Location Email,Bus Routes,Do you want to save your work and come back later to finish?,Contact Name for Location,Contact Title for Location,Contact Email for Location,Contact Phone 1 for Location,Contact Info 1 Notes for Location,Contact Phone 2 for Location,Contact Info 2 Notes for Location,Do you want to save your work and come back later to finish?,Frequency of Services,Weekly Schedule,Monday Start Time,Monday End Time,Tuesday Start Time,Tuesday End Time,Wednesday Start Time,Wednesday End Time,Thursday Start Time,Thursday End Time,Friday Start Time,Friday End Time,Saturday Start Time,Saturday End Time,Sunday Start Time,Sunday End Time,Monthly Schedule (ex: third Thursday at 5pm),Ad-hoc Schedule (ex: Home Football Games),Specific Date (Thanksgiving),"Additional Schedule Information (ex: for Catholic Charities and others to put their lunch hours, etc.)",Do you want to save your work and come back later to finish?,Service Types,Service Cost,Service Category: Basic Needs,Service Category: Crisis Events,Service Category: Financial Aid / Legal,Service Category: Food & Nutrition,Service Category: Health,Service Category: Housing,Service Category: Recreation,Service Description (Briefly describe services or programs offered),Do you want to save your work and come back later to finish?,Minimum Age,Maximum Age,Minimum Annual Household Income,Maximum Annual Household Income,Employment Status,Education Achieved,Housing Status,Residency,Gender,Ethnicity,Eligibility Details,Do you want to save your work and come back later to finish?,Application Required?,Application Information,Walk-ins Allowed?,Appointments Available?,Appointments Required?,Appointment Scheduling,Appointment Phone Number,Appointment Email address,Appointment URL,Do you want to save your work and come back later to finish?,United Way Approved?,Languages Available,Translation Services,Do you have any feedback for the myGNV team? Are we missing anything or is anything confusing? How can we improve the service?
8/13/2020 8:55:54,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2020 8:58:32,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2020 11:22:58,jacqueline,test,,,,Keep going,test,,,,,,,Save and come back later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2020 16:59:50,William Maloney,North Central Florida Intergroup,Provides support services for Alcoholics Anonymous in North Central Florida,https://www.AAGainesville.org,,Keep going,William Maloney,Webmaster,webmaster@AAGainesville.org,,,,,,Intergroup Office,2632 NW 43rd Street,Suite 1182,Gainesville,32606,Office and hotline,352-372-8091,,,office.manager@AAGainesville.org,43,,,,,,,,,,Weekly,"Tuesday, Wednesday, Thursday, Friday, Saturday",,,2:00:00 PM,5:00:00 PM,2:00:00 PM,5:00:00 PM,11:00:00 AM,6:00:00 PM,11:00:00 AM,6:00:00 PM,11:00:00 AM,2:00:00 PM,,,,,,,,"Information (i.e. referrals, educational materials)",,Education,,,,Substance Abuse,,,Literature and supplies for A.A. groups and individuals,,,,,,,,,,,,,,No,,Yes,No,No,,,,,,No,English,,
8/13/2020 17:26:59,Nicholas Hauzer,ElderCare of Alaachua County,"The Mission of ElderCare of Alachua County is to be an advocate for the elderly and provide services that will build capacity, maximize independence, and enrich the quality of life for the seniors in Alachua County and north central Florida.",https://eldercare.ufhealth.org/,No,Keep going,Nick Hauzer,"Manager, Senior Recreation Center & Volunteer Services",Nhau0001@Shands.ufl.edu,352-265-9040,,,,Keep going,Senior Recreation Center,5701 NW 34th BLVD,,Gainesville,32653,Main,352-265-9040,,,Nhau0001@Shands.ufl.edu,8,Keep going,Nick Hauzer,"Manager, Senior Recreation Center & Volunteer Services",Nhau0001@Shands.ufl.edu,352-265-9040,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,,,,,,,,,Keep going,"Information (i.e. referrals, educational materials)","Free, Discounted","Education, Transportation",Covid-19,,"Food Pantry / Distribution Site, Serving prepared meals",Vision,,"Classes, Computers & Labs","Located in Gainesville, the Senior Recreation Center is a 17,000-square-foot recreation and activity center. ElderCare of Alachua County and other community agency staff coordinate enriching and enjoyable programming for local seniors at the center. It exemplifies the state’s definition of a multi-service senior center, in part, by offering a comprehensive array of programs and services to meet the diverse needs of younger baby boomers, older seniors and their care givers.",Keep going,60,,,,,,,"City of Gainesville, Alachua County",,,60 years of age ,Keep going,Yes,https://eldercare.ufhealth.org/senior-recreation-center/,Yes,Yes,Yes,"In-person at the office, By phone, On website",352-265-9040,,,Keep going,Yes,"English, Others Upon Request","Always Available, By Appointment Only, Over Phone",NA
8/14/2020 9:39:28,Jessica Tisdale,ELC of Alachua County,"In addition to providing financial assistance for child care and school readiness, the ELC of Alachua is statutorily required to build a coalition of partners and advocates to coordinate local services for children from birth through kindergarten.",http://www.elcalachua.org,No,Keep going,ELC of Alachua County,,eligibility@elcalachua.org,352-375-4110 ext 100,,,,Keep going,,4424 NW 13th Street A-5 ,,Gainesville,32609,Main,352-375-4110 Ext 100,,,,,Keep going,,,,,,,,Keep going,,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,,,,,,,,Families can be seen by a Specialist on Monday thru Thursday from 8am to 11am. We take appointments and walk-ins. ,Keep going,"Information (i.e. referrals, educational materials), Money (i.e. rent payment assistance, transportation vouchers)","Free, Discounted",Education,,,,,,"Childcare, Computers & Labs","We offer families financial assistance with childcare and School Readiness. We also assist in registering for VPK. Along with School Readiness and VPK, we offer CCR&R services. These services assist our families and the community, by connecting families with agencies that can help with their needs outside of childcare. ",Keep going,0,13,,,,,,Alachua County,,,We provide financial assistance for childcare and School Readiness for children ages birth to 13 years old. We provider CCR&R services to families of all ages and demographics. ,Keep going,Yes,"You can apply for VPK, School Readiness, or childcare through the Family Portal. The website for  ELCAC is www.elcalachua.org.",Yes,Yes,No,"In-person at the office, By phone",352-375-4110 ext 100,eligibility@elcalachua.org,,Keep going,Yes,"English, Others Upon Request",Over Phone,
8/14/2020 11:36:36,Jeff Lee,"ElderCare of Alachua County, Inc.","The Mission of ElderCare of Alachua County is to be an advocate for the elderly and provide services that will build capacity, maximize independence, and enrich the quality of life for the seniors in Alachua County and north central Florida.",https://eldercare.ufhealth.org/,No,Keep going,Jeff Lee,"Manager, Program Operations",leejb@shands.ufl.edu,352-265-9040,,,,Keep going,N/A,5701 NW 34th Blvd,,Gainesville,32653,352-265-9040,,,,,RT 8,Keep going,SAME AS HEADQUARTERS,SAME AS HEADQUARTERS,,,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,,,,,,,,,Keep going,"Information (i.e. referrals, educational materials), Goods (i.e. food, medication)",Free,Transportation,Covid-19,,Serving prepared meals,,,,"Home and Community based services including meals on wheels, respite care, lifeline alert buttons, homemaking. We also operate the Senior Rec center and Al'z Place, our adult daycare center as well as providing our Independence with Low Vision program.",Keep going,60,,,,,,,Alachua County,,,"for most programs, recipient must be 60, with some exceptions (Al'z Place, low vision program where 18 is the minimum.",Keep going,Yes,"Variable, depending on program",No,,Yes,By phone,352-265-9040,,,Keep going,Yes,English,By Appointment Only,"Poor layout, not enough free text boxes to explain variations in process, services offered or eligibility"
8/14/2020 12:41:23,Linda Stegall Henry,Gainesville Multiple Myeloma Support Group,"Welcome patients, caregivers, family, and friends to a relaxed atmosphere where you come away with knowledge, loving support and much laughter. Meets 2nd Monday of each month at 5:30. Due to Covid-19, meetings are temporally canceled.",,No,Keep going,Linda Stegall Henry,Facilitator,lshenry65@gmail.com,352-529-7050,,,,Keep going,Gainesville Cancer Specialist,6420 West Newberry Rd.,,"Gainesville, Florida",32605,,,,,,,Keep going,,,,,,,,Keep going,"Monthly, Specific Dates",,,,,,,,,,,,,,,,Second Monday at 5:30 pm,,,,Keep going,"Professional Services (i.e. medical appointments, legal counseling)",Free,,,,,"Disease specific (Cancer, HIV, Diabetes)",,,"Support Group for Multiple Myeloma patients, caregivers, family, and friends.",Keep going,,,,,Volunteer,,,,,,,Keep going,No,,Yes,,,,,,,Keep going,No,English,,
8/14/2020 13:53:52,Tina Treloar,Santa Fe College Dental Clinic ,"Treatment is performed by SF and UF students under the supervision of faculty. Services include x-rays, cleanings, fillings, crowns. Offered by appointment only. No emergency services, extractions, surgery, orthodontics or root canal therapy.",https://www.sfcollege.edu/health/dental-programs/dental-clinic-at-sf/index,No,Keep going,Cindy Carstens ,Clinic Coordinator ,dental@sfcollege.edu,352-395-5655,"All calls will be directed to a message line. You may leave a voice message to request an appointment. If your dental needs align with student needs at that time, you may receive a call back from our clinic coordinator to schedule an appointment.",,,Keep going,Santa Fe College ,3000 NW 83rd Street,W71,Gainesville,32606,352-395-5655,,,,,,Keep going,,,,,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",8:29:59 AM,5:00:00 PM,8:29:59 AM,5:00:00 PM,8:29:59 AM,5:00:00 PM,8:29:59 AM,5:00:00 PM,8:29:59 AM,5:00:00 PM,,,,,,,,,Keep going,"Professional Services (i.e. medical appointments, legal counseling)",Discounted,,,,,Dental,,,,Keep going,12,,,,,,,,,,,Keep going,No,,No,Yes,Yes,By phone,395-35-5655,dental@sfcollege.edu,,Keep going,,English,By Appointment Only,
8/14/2020 15:47:50,John C Barli,Catholic Charities,"We are a non profit 501 c 3 and our overall mission is poverty reduction and sustainability. We offer a food pantry for emergency food, Weekend Hunger Backpack program, English as a Second Language classes and Financial Literacy classes.",http://cathotliccharitiesgainesville.org,No,Keep going,John C Barli,Regional Director,jbarli@ccgnv.org,3522246440,,3523720294,,Keep going,Catholic Charities,1701 NE 9 Street,,Gainesville,32609,3523720294,,,,lporter@ccgnv.org,15,Keep going,Jackie Oliver,Emergency Assistance Coordinator,joliver@ccgnv.org,3720294,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday",9:30:00 AM,12:30:00 AM,9:30:00 AM,12:30:00 AM,9:30:00 AM,12:30:00 AM,9:30:00 AM,12:30:00 AM,,,,,,,,,,,Keep going,"Information (i.e. referrals, educational materials), Money (i.e. rent payment assistance, transportation vouchers), Goods (i.e. food, medication)",Free,Education,"Covid-19, Disaster, Eviction","Adoption, Utilities","Education & Advocacy, Food Pantry / Distribution Site",Counseling,,,"Pregnancy Counseling, Financial Literacy Classes, English as a Second Language classes",Keep going,,,,,,,,,,,We help any one in need,Keep going,Yes,varies by program,Yes,Yes,No,By phone,3720294,joliver@ccgnv.org,,Keep going,Yes,"English, Spanish",By Appointment Only,
8/16/2020 7:51:26,Denise Schentrup,Archer Family Health Care,Archer Family Health Care is a nurse-led primary care practice that provides health care to individuals and families.  We have a integrated approach and include psychiatric services if needed.  Health care is provided to all ages.  ,https://afhc.nursing.ufl.edu/,No,Keep going,Joan Newell Walker,Practice Manager,jowalker@ufl.edu,352-265-2550,,,,Keep going,NA,16939 SW 134th Ave,,Archer,32618,Main office,352-265-2550,,,,,Keep going,Denise Schentrup,Clinic Director,dschen@ufl.edu,352-265-2550,,352-278-0132,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00:00 AM,4:30:00 PM,8:00:00 AM,4:30:00 PM,8:00:00 AM,4:30:00 PM,8:00:00 AM,4:30:00 PM,8:00:00 AM,4:30:00 PM,,,,,,,,Closed from 1230-130pm for lunch,Keep going,"Professional Services (i.e. medical appointments, legal counseling)",Discounted,,,,,"Counseling, Medical, Pediatrics, Women’s Health",,,,Keep going,0,100,0,,,,,,"Female, Male, Non-Binary","Native American or Alaskan Native, White or Euro-American, Black, Afro-Caribbean, or African American, Latinx or Hispanic American, Middle Eastern or Arab American, South Asian or South Asian American, East Asian, South East Asian or Asian American, Native Hawaiian, Other Pacific Islander or Pacific Islander American",,Keep going,No,,Yes,Yes,Yes,"In-person at the office, By phone",352-265-2550,jowalker@ufl.edu,,Keep going,No,"English, Spanish, Others Upon Request",Always Available,
8/17/2020 11:24:39,Autumn Santos,CDS Family & Behavioral Health Services,"We target familial strength through prevention, counseling, and youth shelters.  Our organization’s mission statement encompasses our work: “Strengthening Communities by Building Strong Families.” ",https://www.cdsfl.org/,Yes,Keep going,Autumn Santos,Community Outreach Specialist,autumn_santos@cdsfl.org,3522440628 ext. 3865,,,,Keep going,Family Action Counseling/SNAP Office,3615 SW 13th St. Suite 4,,Gainesville,32608,Main,352 244 0626,,,,,Keep going,Interface Youth Shelter,Main,,(352) 244-0618,,,,Keep going,"Weekly, Monthly, Specific Dates, Ad-hoc","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,,,,,,,,"Our Interface Youth Shelter is open 24/7, 365 days a year. SNAP programming takes place from 6pm-8pm. ",Keep going,"Information (i.e. referrals, educational materials)",Free,,Violence & Abuse,,,Counseling,Crisis Shelter,,"Residential shelter services for youth 10-17, free counseling for youth and families, and behavioral management programs for youth aged 6-11. ",Keep going,6,17,,,,,,,,,,Keep going,No,,Yes,Yes,No,"In-person at the office, By phone, On website",3522440628,,https://www.cdsfl.org/,Keep going,Yes,"English, Spanish, Others Upon Request",Always Available,
8/19/2020 14:00:32,Lenora Mazlaghani,Christians Concerned for the Community,"CCC focuses on empowering our neighbors in crisis, low income elderly neighbors, and low income neighbors with disabilities. ",http://cccgainesville.org/,No,Keep going,Lenora Mazlaghani,Social Service/Office Admin,office@cccgainesville.org,3523581768,,,,Keep going,N/A,,,,,,,,,,,Keep going,,,,,,,,Keep going,Weekly,"Tuesday, Wednesday, Thursday",,,9:59:59 AM,3:00:00 PM,9:59:59 AM,3:00:00 PM,9:59:59 AM,3:00:00 PM,,,,,,,,,,,Keep going,"Information (i.e. referrals, educational materials), Goods (i.e. food, medication)",,,,,,,,,1. Furniture assistance.  2. Wheelchair ramp building  3. Yard work (not provided regularly)   Most services are dependent on volunteer availability.,Keep going,18,,,,,,,"City of Gainesville, Alachua County",,,Eligibility is determined individually.,Keep going,No,,,,,,,,,Keep going,,,,
8/20/2020 9:58:10,Keyosha Monroe,Three Rivers Legal Services,"Three Rivers is a non-profit law firm providing free legal help with offices in Gainesville, Jacksonville, and Lake City, Florida. We are dedicated to the provision of quality legal assistance to the poor, abused, disabled, and elderly.",https://www.trls.org/,No,Keep going,Keyosha Monroe ,HR Director ,keyosha.monroe@trls.org,3524152320,,,,Keep going,N/A,1000 NE 16th Avenue,Bldg. I,Gainesville,32601,3523720519,Main,18662568091,Toll-free ,,,Keep going,Keyosha Monroe,HR Director,keyosha.monroe@trls.org,3524152320,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",8:29:59 AM,5:00:00 PM,8:29:59 AM,5:00:00 PM,8:29:59 AM,5:00:00 PM,8:29:59 AM,5:00:00 PM,8:29:59 AM,5:00:00 PM,,,,,,,,Closed for lunch from 12:00 PM - 1:00 PM ,Keep going,"Information (i.e. referrals, educational materials), Professional Services (i.e. medical appointments, legal counseling)",Free,,"Eviction, Violence & Abuse",Legal & Pro Bono,,,,,Provide free civil legal help to low-income residents.,Keep going,,,,,,,,Alachua County,,,Eligibility determination conducted through an intake process.,Keep going,Yes,The initial intake process conducted over the telephone. ,Yes,,Yes,By phone,18662568091,,https://www.trls.org/,Keep going,,"English, Spanish, Others Upon Request",Always Available,
8/25/2020 8:40:48,Allyson Schmitz,Palms Medical Group,"Palms Medical Group is a not-for-profit health care provider committed to bringing quality, affordable primary care and preventative services to you and your family. We accept most public and private insurances, as well as uninsured patients.",https://palmsmg.org,Yes,Keep going,Allyson Schmitz,Marketing Specialist,aschmitz@palmsmg.org,(386) 454-0698,Administration,(352) 210-3412,Cell Phone,Keep going,Palms Medical Group - Gainesville,1014 Northwest 57 Street,,Gainesville,32605,Office,352-376-8211,Scheduling,(888) 730-2374,,,Keep going,Tim Dean,Regional Manager,tdean@palmsmg.org,352-376-8211,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,8:00:00 AM,5:00:00 PM,,,,,,,,,Keep going,"Professional Services (i.e. medical appointments, legal counseling)",Discounted,,Covid-19,,,"Counseling, Dental, Medical, Pediatrics, Pharmacy, Substance Abuse, Vision, Women’s Health",,,"Palms Medical Group offers a variety of services to meet your needs including Behavioral Health Care, Chiropractic, Dentistry, Family Medicine, Pediatrics, Prenatal, Pharmacy, Labs and X-rays. ",Keep going,,,,,,,,,,,,Keep going,,,Yes,Yes,No,"In-person at the office, By phone, On website",(888) 730-2374,,https://palmsmg.org/request-an-appointment,Keep going,No,"English, Spanish, Creole, Haitian, Others Upon Request",Always Available,
8/25/2020 14:21:58,Brittani Trimble ,Hitchcock Field & Fork Pantry ,"The Hitchcock Field & Fork Pantry is a free resource for UF students, staff, and faculty who are in need of food resources. A valid UFID is required to use the Pantry. ",https://pantry.fieldandfork.ufl.edu/,No,Keep going,Brittani Trimble ,Opperations Coordinator,fieldandfork@ufl.edu,3522943601,,,,Keep going,University of Florida ,564 Newell Dr,,Gainesville,32601,Main : (352) 294-3601,,,,fieldandfork@ufl.edu ,"13, 9, 36, 34",Keep going,,,,,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,,,,,,,,,,,,Our hours change every semester. Please visit our website for more information.,,The Pantry Hours change every semester. please visit our website for updated operating hours. ,Keep going,"Goods (i.e. food, medication)",Free,,,,Food Pantry / Distribution Site,,,,Free food and other supplies to any UF Community member in need. ,Keep going,,,,,Student,,,,"Female, Male, Non-Binary",,"You must be a current UF student, staff, or faculty member with a valid UFID card. ",Keep going,No,,Yes,,No,,,,,,,"English, Spanish, Haitian",,
8/26/2020 8:32:18,Millie Crawford,Regional Transit System,RTS- City of Gainesville Fixed Route Bus system,http://go-rts.com/,Yes,Keep going,Millie Crawford,ADA Transit Coordinator,crawfordma1@cityofgainesville.org,352-393-7826,,352-334-2650,,Keep going,RTS Admin Bldg,34 SE 13th Rd,,Gainesville,32601,"Main, 8:00 AM to 5:30 PM",352-334-2600,"Customer Service, 8:00 AM to 5:30 Pm",352-393-7850,rts@cityofgainesville.org,Route 17,Keep going,Same as Headquarters,Customer Service,rts@cityofgainesville.org,352-334-2600,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6:00:00 AM,2:00:00 AM,6:00:00 AM,2:00:00 AM,6:00:00 AM,2:00:00 AM,6:00:00 AM,2:00:00 AM,6:00:00 AM,2:00:00 AM,6:59:59 AM,6:59:59 PM,9:00:00 AM,6:00:00 PM,N/A,See RTS Website or Schedule book for changes,,N/A,Keep going,,,Transportation,,,,,,,"Public Transportation, with ADA certification, Seniors, Students, Medicaid, or Veterans receive discounted rates ",Keep going,,,,,,,,,,,"Children under 6 have to be accompanied, no other requirements for public Transportation",Keep going,Yes,for ADA certification through the Center for Independent Living (CIL) ,No,Yes,Yes,By phone,352-378-7474,,,Keep going,Yes,"English, Spanish, Others Upon Request",Over Phone,
8/26/2020 11:57:14,Ali Martinez ,Alachua County Crisis Center ,The Alachua County Crisis Center offers 24 hr/day crisis and suicide intervention phone counseling and services to all residents of Alachua County. ,https://alachuacounty.us/Depts/CSS/CrisisCenter/Pages/CrisisCenter.aspx,No,Keep going,Ali Martinez ,Director ,amartinez@alachuacounty.us,352-264-6792,,,,Keep going,,218 SE 24th Street ,,Gainesville ,32641,352-264-6785,,,,,,Keep going,,,,,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00:00 AM,11:58:59 PM,12:00:00 AM,11:58:59 PM,12:00:00 AM,11:58:59 PM,12:00:00 AM,11:58:59 PM,12:00:00 AM,11:58:59 PM,12:00:00 AM,11:58:59 PM,12:00:00 AM,11:58:59 PM,,,,,Keep going,"Information (i.e. referrals, educational materials), Professional Services (i.e. medical appointments, legal counseling)",Free,,"Covid-19, Disaster, Eviction, Violence & Abuse",,,Counseling,,,Crisis and suicide intervention services via 24/7 hotline and counseling services. ,Keep going,,,,,,,,,,,,Keep going,No,,,Yes,,By phone,352-264-6785,,,Keep going,,"English, Spanish, Others Upon Request","Always Available, Over Phone",
8/27/2020 17:16:06,Elliot Harris,City of Alachua Recreation and Culture Department,Municipal government offering recreational opportunities to all citizens of the City of Alachua,https://www.cityofalachua.com,No,Keep going,Elliot Harris,Recreation and Culture Director,eharris@cityofalachua.com,3864621610,,,,Keep going,Cleather Hathcock Center,15818 NW 140th St,,Alachua,32615,3864621610,Legacy Park (Recreation Main),,,,,Keep going,,,,,,,,Keep going,Specific Dates,Tuesday,,,9:00:00 AM,11:00:00 AM,,,,,,,,,,,,,,Food distribution,Keep going,"Goods (i.e. food, medication)",Free,,Covid-19,,Food Pantry / Distribution Site,,,,Due to COVID-19 our operations for food distribution have been moved to St. Matthew Baptist.,Keep going,1,100,0,10000000,"Employed full time, Employed part time, Unemployed, Student, Volunteer, Retired, Homemaker, Self-employed, Unable to work","No Schooling, Kindergarten, Grades 1-11, 12th Grade (No Diploma), Regular High School Diploma, GED or alternative credential, Some college credit, Vocational Certificate, Associate’s Degree, Bachelor’s Degree, Master’s Degree, Doctorate Degree","Homeless, In Shelter, Rent, Own, Other",Alachua County,"Female, Male","Native American or Alaskan Native, White or Euro-American, Black, Afro-Caribbean, or African American, Latinx or Hispanic American, Middle Eastern or Arab American, South Asian or South Asian American, East Asian, South East Asian or Asian American, Native Hawaiian, Other Pacific Islander or Pacific Islander American",There are no eligibility requirements.  All are welcome.,Keep going,No,,Yes,,No,,,,,Keep going,No,English,Over Phone,
8/27/2020 20:42:49,RD Bonnaghan,Rebuilding Together North Central Florida,"Repairing homes, revitalizing communities, rebuilding lives. Rebuilding Together offers a Critical Home Repair program and an Emergency Home Repair Program. More information can be found on our website: rebuildingtogetherncf.org",http://rebuildingtogetherncf.org,No,Keep going,Gina Fontanazza,Office Administrator,mail@rebuildingtogetherncf.org,352-373-2573,,,,Keep going,Rebuilding Together Mailing Address,"4550 SW 41st Blvd, Suite 2",,Gainesville,32608,Main,352-373-2573,,,,,Keep going,,,,,,,,Keep going,Ad-hoc,,,,,,,,,,,,,,,,,"Rebuilding Together offers services on a year-round basis, but takes applications only during designated times. Application information can be found at our website: http://rebuildingtogetherncf.org",,,Keep going,"Professional Services (i.e. medical appointments, legal counseling)",Free,,,,,,Critical Home Repair,,"Critical Home Repair, Emergency Repair",Keep going,,,,,,,Own,"City of Gainesville, Alachua County",,,Owner-occupied housing repair and rehabilitation focused on health and safety.,Keep going,Yes,,No,No,No,,,,,Keep going,Yes,English,,
8/28/2020 11:50:09,Kyle Lindsey,Alachua County Tax Collector,"Property Taxes, Driver License, Vehicle Title and Registration, Concealed Weapon Permit Applications (Downtown Location only), Hunting and Fishing Licenses and Florida Birth Certificates. ",https://www.alachuacollector.com/,Yes,Keep going,Kyle Lindsey,Public Outreach Administrator,KyleLindsey@AlachuaCollector.com,352-264-6914,,,,Keep going,Alachua County Tax Collector-Downtown,12 SE 1st Street,,Gainesville,32601,352-374-5236,,,,ACTCInformation@alachuacollector.com,Yes,Keep going,Kyle Lindsey,Public Outreach Administrator,ACTCInformation@alachuacollector.com,352-264-6914,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday",8:29:59 AM,4:30:00 PM,8:29:59 AM,4:30:00 PM,8:29:59 AM,4:30:00 PM,8:29:59 AM,4:30:00 PM,8:29:59 AM,4:30:00 PM,,,,,,,,,Keep going,"Professional Services (i.e. medical appointments, legal counseling)",,,,"Photo ID & Voter Registration, Taxes",,,,,"Property Taxes, Driver License, Vehicle Title and Tag Registration, Concealed Weapon Permits, Hunting & Fishing, Florida Birth Certificates",Keep going,,,,,,,,,,,,Keep going,,,No,Yes,Yes,On website,,,https://book.appointment-plus.com/6kznhmqx/#/,Keep going,,,,
8/28/2020 15:22:25,Cathy Winfrey,Healthy Families ACUB ,"Healthy Families is a free, voluntary program that provides families with useful information on parenting and child development.  Services include home visitation, parent education and support, counseling services, parent groups and more.",http://www.healthyfamiliesfla.org/,No,Keep going,Cathy Winfrey,Program Manager,cwinfrey@ufl.edu,352-294-5530,,,,Keep going,University of Florida Healthy Families,"6011 NW 1st Place, Suite 20",,Gainesville,32607,"Outreach Office, M-F, 7am-5pm",352-294-5530,,,cwinfrey@ufl.edu,,Keep going,Cathy Winfrey,Program Manager,cwinfrey@ufl.edu,352-294-5530,,,,Keep going,Weekly,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",6:59:59 AM,5:00:00 PM,6:59:59 AM,5:00:00 PM,6:59:59 AM,5:00:00 PM,6:59:59 AM,5:00:00 PM,6:59:59 AM,5:00:00 PM,8:00:00 AM,12:00:00 PM,,,,,,,Keep going,"Information (i.e. referrals, educational materials)",Free,"Clothing, Education",Violence & Abuse,,Education & Advocacy,"Counseling, Women’s Health",,,"Services include home visitation, parent education and support about babies' developmental milestones, brain building activities, safety topics, counseling services, parent groups and more.",Keep going,,,,,,,,,,,This program is for parents expecting a baby or have a baby less than 3-months-old,Keep going,No,,No,Yes,Yes,By phone,352-294-5530,cwinfrey@ufl.edu,,Keep going,Yes,English,Over Phone,"Under normal circumstances, we are a home visiting program.  During COVID, we a conducting our ""visits"" over the phone using the Zoom App."
8/29/2020 1:12:24,Warriors for Christ,Warriors for Christ. Inc.,We were here surprised our church group is high as goal is to save souls and meet whatever needs in the community feeding homeless and teaching them so you don't work you don't eat. Psalms 41:1,http://www.warriors-for-christ.org,No,Keep going,John Deane,President,lordjohnny777@gmail.com,3522466623,,,,Keep going,Hot spot feeding,Down town plaza,,Gainesville,32605,3522466623,3522466623,,,lordjohnny777@gmail.com,,Keep going,,,,,,,,Keep going,Weekly,Sunday,12:00:00 PM,,,,,,,,,,,,3:59:59 PM,6:00:00 PM,,,,,Keep going,"Goods (i.e. food, medication)",Free,,,,,,,,We are a church group and offer a church service and feeding free of charge,Keep going,,,,,,,,,,,Any one,Keep going,No,,Yes,No,No,,,,,Keep going,,,,
